OBJECTID;POINT_X;POINT_Y;OBJECTID_1;DPTO_CCDGO;MPIO_CCDGO;Shape_Leng;OBJECTID_2;MPIO_CNMBR;DESCRPCION;DEPTO;P_ENERSI;P_ENERNO;P_ALCANSI;P_ALCANNO;P_ACUESI;P_ACUENO;P_GASNSI;P_GASNNO;P_GASNNOIN;P_TELEFSI;P_TELEFNO;P_TELEFNOI;ShapeSTAre;ShapeSTLen
5985;-74.413817750000000;3.696386599000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
5986;-74.363817749999900;3.696386599000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
5987;-74.313817749999900;3.696386599000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
5988;-74.263817750000000;3.696386599000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6092;-74.463817750000000;3.646386599000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6093;-74.413817750000000;3.646386599000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6094;-74.363817749999900;3.646386599000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6095;-74.313817749999900;3.646386599000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6096;-74.263817750000000;3.646386599000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6192;-74.513817750000000;3.596386598000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6193;-74.463817750000000;3.596386598000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6194;-74.413817750000000;3.596386598000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6195;-74.363817749999900;3.596386598000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6196;-74.313817749999900;3.596386598000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6197;-74.263817750000000;3.596386598000000;919;50;330;3.603201180000000;104;MESETAS;AREA # 50330;META;930;278;788;420;954;254;0;1208;0;227;979;2;2302971759.667340000000000;398943.278888233000000
6291;-74.513817750000000;3.546386597000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6292;-74.463817750000000;3.546386597000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6293;-74.413817750000000;3.546386597000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6294;-74.363817749999900;3.546386597000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6295;-74.313817749999900;3.546386597000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6296;-74.263817750000000;3.546386597000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
6298;-74.163817750000000;3.546386597000000;919;50;330;3.603201180000000;104;MESETAS;AREA # 50330;META;930;278;788;420;954;254;0;1208;0;227;979;2;2302971759.667340000000000;398943.278888233000000
6385;-74.563817749999900;3.496386596000000;920;50;370;5.016808380000000;106;LA URIBE;AREA # 50370;META;426;1362;451;1337;450;1338;0;1788;0;10;1736;42;6498558202.350010000000000;556468.632024709000000
